x,y
12918.38749697759,5297.582542302145
12939.32758285628,5286.835359678662
12957.84262680424,5281.778323818988
12987.81036368756,5279.8539339397685
13000.25592016867,5285.325616044051
13032.871131113101,5307.999213615491
13069.95373604824,5348.609704669623
13549.49863306629,6052.291283994971
13635.311631025961,6168.635599201603
13828.99638666505,6407.98973829864
13992.33571256181,6639.38361152826
14042.87126996509,6722.624837352951
14086.806015535301,6812.43421330681
14110.138726169671,6872.59722841164
14136.52527069369,6969.94302392757
14146.584320579,7035.78786806954
14152.84534188149,7103.37412329676
14153.46602467251,7205.26049733633
14149.82037292833,7306.07695091056
14138.24924960076,7441.39045835572
14121.319438636061,7576.8471484333895
14076.4049205944,7873.60819704743
14054.54623516962,8050.6138647301705
14044.9684299564,8198.914730939141
14044.62777215663,8353.13063519454
14054.36103489854,8514.514259717489
14082.34513490503,8764.82907354838
14162.2457002483,9296.21988769254
14179.5124797985,9435.035713448251
14194.88028878234,9619.79128702456
14198.78081201283,9796.6396016833
14188.40981701967,10016.01294607023
14169.43145930355,10230.51377810078
14136.37715716915,10433.35833287897
14109.99365638963,10550.32367011538
14089.24347488639,10625.9376751958
14027.36184851536,10807.70205187431
13951.62990108992,10982.945648565019
13848.837889824541,11182.05506959284
13774.10094152238,11309.35960153682
13715.7508516028,11399.22689085739
13649.40683106855,11488.79031406908
13583.38160145465,11571.14985030802
13489.450443365971,11677.49525227869
13415.68693763991,11749.3957430367
13364.95459447442,11793.565999480019
13288.713675569441,11854.34033618966
13180.44454136038,11928.83242525911
12985.645543752311,12040.71973727836
12536.99754126444,12268.06223145692
12324.75310201534,12366.071651975679
12209.90314563994,12424.25946891686
11755.74150348686,12639.56472836534
11626.178791735714,12705.175694030771
11453.78451975579,12804.84815382777
11366.837871944372,12863.10406429047
11284.152383841123,12924.3666187395
11202.950492945718,12990.099745987041
11122.407457356385,13062.6764337598
11047.433547175853,13137.78590658127
10975.601941377608,13217.02552833228
10873.42514160277,13346.75680037594
10785.467076130517,13480.317819626129
10704.353252819754,13625.38880275661
10656.896569104065,13724.08031492966
10593.474775290626,13874.99228255177
10498.267127629675,14141.98356322484
10418.941572013297,14416.21105323272
10302.593001438494,14870.92216680112
10126.598920140052,15589.9632872576
10011.413394416959,16024.2740249439
9980.679488748647,16149.0712230048
9928.385796080154,16332.2060988416
9863.437075325477,16518.046551521
9812.898567114826,16636.3380793613
9756.116660893731,16750.641950594298
9659.14676079714,16911.3098546165
9589.11650262789,17011.0121677463
9509.487900622811,17110.618750459602
9429.309516917321,17197.6801475939
9340.337215388961,17280.5580164753
9292.44864662464,17320.707549329
9244.17627335708,17354.914319209798
