x,y
13176.4082,5050.7321
13190.1018,5071.645
13203.7877,5092.5579
13217.4735,5113.4707
13231.1589,5134.4148000000005
13244.844700000001,5155.3276000000005
13258.5305,5176.2404
13272.2159,5197.1845
13285.9017,5218.0973
13299.587500000001,5239.0102
13313.2734,5259.923
13326.9587,5280.8671
13340.6446,5301.7799
13354.3304,5322.6928
13368.015800000001,5343.6369
13381.7016,5364.54969
13395.3953,5385.4626
13409.0811,5406.3755
13422.7665,5427.3196
13436.4524,5448.2324
13450.138200000001,5469.1453
13463.8236,5490.0894
13477.5095,5511.0022
13491.1953,5531.9151
13504.8812,5552.8279
13518.5666,5573.772
13532.252400000001,5594.6849
13545.9383,5615.5978000000005
13559.6237,5636.5419
13573.3096,5657.4547
13587.0033,5678.3677
13600.6887,5699.3118
13614.3745,5720.2247
13628.0604,5741.1375
13641.7463,5762.0504
13655.431700000001,5782.9945
13669.117600000001,5803.9074
13682.8035,5824.8203
13696.4889,5845.7644
13710.1748,5866.6773
13723.8606,5887.5901
13737.5465,5908.503
13751.232,5929.4472000000005
13764.9179,5950.360000000001
13778.6037,5971.2729
13792.297,5992.2172
13805.9829,6013.13
13819.6688,6034.0429
13833.3547,6054.9558
13847.0401,6075.8999
13860.726,6096.8128
13874.411900000001,6117.7257
13888.0974,6138.6699
13901.783300000001,6159.5828
13915.4692,6180.4957
13929.1551,6201.4086
13942.8405,6222.3527
13956.5265,6243.2656
13970.2124,6264.1785
13983.8978,6285.1227
13997.5916,6306.0357
14011.2775,6326.9486
14037.6112,6354.7268
14083.1756,6382.9614
14132.9051,6387.6888
14182.5933,6384.1956
14229.519100000001,6367.5997
14272.4534,6341.9779
14313.855500000001,6314.1782
14351.6362,6281.6084
14395.257000000001,6257.1839
14438.7562,6232.5076
14481.6137,6206.791
14522.9879,6178.7408000000005
14566.0823,6153.4025
14610.6399,6130.7101
14655.3115,6108.238
14699.503700000001,6084.852800000001
14742.680100000001,6059.7969
14783.6095,6031.1466
14828.6052,6015.1174
14862.6321,6020.218800000001
14891.541000000001,6060.5346
14935.6085,6079.0281
14981.162100000001,6070.0388
15024.5953,6046.1742
15066.836800000001,6020.3551
15115.245,6009.4992
15157.5906,5985.1817
15184.0508,5946.9216
15190.1664,5899.032
15173.5759,5852.2627
15189.6074,5806.5745
15228.001100000001,5779.889
15273.6684,5760.5249
15319.3883,5741.3178
15365.4565,5722.8969
15411.5769,5704.6642
15457.6746,5686.3687
15503.7424,5667.979
15549.8107,5649.5581
15595.8858,5631.1998
15641.9532,5612.8413
15688.021,5594.4516
15734.0436,5575.9362
15779.9526,5557.1692
15825.7483,5538.1194000000005
15871.4234,5518.7553
15917.03,5499.2652
15962.5154,5479.4921
16007.9861,5459.6563
16053.5775,5440.1347000000005
16099.017800000001,5420.236
16144.571800000002,5400.5888
16190.2234,5381.2244
16235.7926,5361.6087
16281.1947,5341.6469
16326.468,5321.4019
16370.8612,5299.2695
16413.4098,5273.8295
16453.977,5245.3615
16493.1569,5214.9676
16531.4542,5183.4362
16568.8826,5150.8925
16604.0553,5115.942
16636.528700000003,5078.4534
16665.763899999998,5038.4192
16691.7399,4996.2142
16713.9012,4951.8932
16734.2935,4906.6723
16749.5278,4862.0981
16759.880100000002,4820.2061
16767.5237,4780.9328000000005
16774.6103,4742.3706
16806.9002,4729.1951
16846.606,4728.8124
16886.3978,4732.9002
16925.4205,4736.6647
16965.2952,4735.378
16997.091,4718.9764000000005
17014.7144,4684.0306
17015.2542,4644.845600000001
16983.921000000002,4631.4998
16944.1722,4627.6939
16904.2149,4625.9479
16864.250200000002,4624.1704
16825.1119,4616.3725
16795.5906,4594.1447
16776.1048,4559.3991000000005
16763.3163,4522.3407
16750.8066,4484.3485
16737.9752,4446.4456
16724.978900000002,4408.6029
16712.0056,4370.7917
16699.158600000002,4332.8886
16686.3819,4294.9865
16673.7936,4257.0244999999995
16661.072,4219.0919
16648.0753,4181.2805
16635.389300000003,4144.161
16622.1729,4106.409
16606.7405,4069.5637
16590.593800000002,4032.9584
16575.413500000002,3995.9603
16562.4128,3958.9927
16549.3068,3921.1798
16535.4854,3883.6693999999998
16520.2974,3846.6713
16503.2223,3810.5219
16484.2148,3776.2207
16463.1637,3742.2347
16441.4194,3708.6454000000003
16419.4932,3675.2098
16397.678200000002,3641.6508000000003
16375.7677,3608.2154
16353.463500000002,3574.9933
16331.119900000002,3541.8019000000004
16308.9728,3508.5195000000003
16286.5897,3475.3589
16263.567200000001,3442.6581
16238.783500000001,3411.3078
16213.0041,3380.7563
16189.2395,3348.6077
16167.0061,3315.3554
16145.7506,3281.4604
16123.683,3248.0854
16100.3212,3215.6299
16075.008000000002,3184.7098
16047.8762,3155.327
16019.4853,3127.1455
15992.074,3098.1964000000003
15977.8328,3063.8994000000002
15975.5235,3028.9878
15940.3063,3010.1183
15903.5386,2994.8526
15892.231500000002,2957.4713
15906.2025,2919.9744
15880.2468,2891.4207
15843.4783,2875.6549
15806.377700000001,2860.7284
15769.3747,2845.5219
15732.4443,2830.1601
15695.5464,2814.7051
15658.5752,2799.4677
15620.4722,2788.0588000000002
15581.0795,2794.5716
15543.1252,2803.8235
15504.1527,2794.8089
15465.1468,2785.9502
15426.107899999999,2777.216
15387.0438,2768.6065
15347.9545,2760.1216
15308.807,2751.8859
15269.6839,2743.5881
15231.8305,2732.2139
15200.111499999999,2707.9239000000002
15171.1894,2680.2975
15141.997800000001,2652.9487
15112.8618,2625.5381
15083.1064,2598.8377
15052.350600000002,2573.2798000000003
15021.138500000001,2549.0593
14983.235700000001,2536.7468
14943.673200000001,2530.8181
14904.076000000001,2525.1389
14864.4783,2519.4909000000002
14824.8637,2513.9365000000003
14785.2577,2508.3197
14745.703000000001,2502.3911000000003
14712.5255,2491.8948
14709.1725,2452.8432000000003
14744.2058,2444.6132000000002
14783.798,2438.916
14823.3902,2433.2187
14862.9894,2427.5841
14901.7908,2422.0008000000003
14941.390800000001,2416.3037
14980.8963,2410.1051
15018.9921,2398.5425
15051.0422,2375.6752
15080.3632,2348.4880000000003
15109.723300000001,2321.3014000000003
15139.0907,2294.1461
15170.064600000002,2268.8885
15206.5164,2254.2088
15246.12,2251.0432
15286.1184,2250.946
15326.1219,2251.0363
15364.8453,2259.4223
15397.001400000001,2282.062
15425.4482,2310.1504
15453.3876,2338.7631
15481.3426,2367.376
15509.384900000001,2395.8963
15537.3478,2424.5093
15565.3189,2453.0912000000003
15593.1628,2481.8275
15621.0228,2510.5329
15651.144100000001,2536.7695
15652.6324,2516.3816
15637.2913,2483.632
15645.9309,2444.6543
15643.745200000001,2405.9316
15626.6468,2369.782
15608.5259,2334.1182
15590.491300000002,2298.4244
15572.2914,2262.822
15549.7503,2230.3468000000003
15519.804800000002,2203.8314
15503.020199999999,2173.1869
15520.566200000001,2138.7405
15547.768100000001,2109.4297
15578.1857,2083.7267
15609.958,2059.4803
15638.0821,2031.2763
15660.2808,1998.2388
15671.3792,1960.5457000000001
15679.395100000002,1921.4656
15690.0209,1882.922
15697.6475,1843.7427000000002
15702.133300000001,1803.9881
15719.9152,1770.5452
15745.9437,1740.2178
15748.8659,1703.8794000000003
15726.571800000002,1672.1891
15709.5709,1636.8848000000003
15723.513500000001,1601.9818
15755.0761,1578.2013000000002
15790.236499999999,1559.1904
15827.7379,1545.4316
15864.4483,1529.5677
15889.6855,1499.3856
15910.756300000001,1465.4261000000001
15930.1229,1430.4113000000002
15956.203300000001,1400.2721999999999
15988.549200000001,1376.909
16021.6098,1354.3995
16054.655200000001,1331.8587000000002
16087.7388,1309.3808
16120.8302,1286.9031
16153.952000000001,1264.4881999999998
16187.4109,1242.5469000000003
16221.0226,1220.8577999999998
16254.6417,1199.1999999999998
16288.161800000002,1177.3532999999998
16321.5591,1155.3486000000003
16354.2711,1133.7407000000003
16387.9057,1112.0830999999998
16424.0059,1095.1480000000001
16461.2152,1080.4786999999997
16495.4944,1064.1432000000004
16493.1636,1025.1686
16480.6539,987.1769000000004
16467.8382,949.2746999999999
16455.022100000002,911.4036999999998
16442.4693,874.2552000000005
16430.516,836.1463000000003
16438.13,805.6867000000002
16475.1881,792.8904000000002
16512.2383,780.0941000000003
16549.2964,767.2979000000005
16586.346700000002,754.5015000000003
16624.6523,743.0041000000001
16662.5688,730.2824
16700.701399999998,718.3136999999997
16738.9071,709.5027
16777.8883,700.5461999999998
16788.9685,732.9234999999999
16795.2533,772.4222
16801.4007,811.1374999999998
16807.555800000002,849.8530000000001
16813.8329,889.3516
16820.1099,928.8500999999997
16816.6074,968.1495000000004
16846.316,968.0020000000004
16885.5033,959.9548000000004
16924.7921,952.4715999999999
16964.0888,944.9884000000002
17003.3854,937.5052999999998
17042.682,930.0221000000001
17081.9782,922.5702000000001
17121.2748,915.0870000000004
17160.5637,907.6036999999997
17199.8681,900.1207000000004
17239.1569,892.6374000000005
17278.4535,885.1542
17317.7428,877.6396000000004
17357.0394,870.1563999999998
17396.3282,862.6731
17435.6322,855.2212
17474.9215,847.7066999999997
17514.1595,839.9413000000004
17552.827,829.9490000000005
17590.9015,817.6669000000002
17628.9759,805.3847999999998
17667.049899999998,793.1338999999998
17705.1092,780.8203000000003
17742.4894,766.7783
17778.1682,748.6806999999999
17813.839200000002,730.5830999999998
17849.518,712.4854999999998
17885.1964,694.4192000000003
17920.8674,676.3216000000002
17956.2719,657.7201000000005
17990.6706,637.2919000000002
18024.8397,616.5167000000001
18059.0093,595.7102999999997
18093.1559,574.8721999999998
18126.4762,552.7725
18158.394500000002,528.6841999999997
18190.0063,504.15409999999974
18221.5948,479.6235999999999
18253.0756,454.96669999999995
18284.3342,429.9939999999997
18315.4466,404.8631000000005
18346.536,379.7006000000001
18377.6336,354.5069000000003
18408.615400000002,329.21789999999964
18438.9054,303.10660000000007
18468.156,277.0120999999999
18496.1965,251.96320000000014
18523.0348,227.96020000000044
18548.678200000002,205.03440000000046
18574.3681,182.14050000000043
18600.1577,159.3730000000005
18626.0164,136.70020000000022
18651.867700000003,113.9961000000003
18677.726300000002,91.32330000000002
18703.5854,68.6193000000003
18729.421000000002,45.91489999999976
18755.1417,23.052599999999984
18780.654000000002,0.0
18790.014,33.60329999999976
18763.6054,57.04979999999978
18771.5323,91.44570000000022
18779.1997,125.96299999999974
18786.8978,160.51190000000042
18795.194900000002,194.6943000000001
18770.872600000002,217.01350000000002
18783.0986,251.84450000000015
18794.7341,285.3233
18771.966200000003,309.91449999999986
18784.7068,340.34600000000046
18763.503,364.83399999999983
18778.678,393.83050000000003
18795.3673,422.3793999999998
18776.1987,448.83349999999973
18794.694600000003,478.3765000000003
18775.1571,506.0757000000003
18794.581700000002,536.8193000000001
18773.9505,565.0657000000001
18792.49,596.5158000000001
18771.7213,623.9790000000003
18789.3504,654.6037999999999
18769.6064,680.8624
18784.8632,713.5168000000003
18779.186999999998,741.7533000000003
18790.5158,766.4143999999997
18767.5476,788.0025000000005
18778.0284,819.1212999999998
18788.585,850.9598999999998
18763.0709,873.5751
18773.2114,905.5641999999998
18783.142200000002,937.4566000000004
18792.81,969.1579000000002
18766.6284,991.4512000000004
18740.6235,1013.9656999999997
18714.7873,1036.7014
18688.9824,1059.4375
18663.1848,1082.2048999999997
18636.1312,1105.955
18606.6496,1131.7963
18576.544,1158.129
18546.246,1184.2403000000004
18515.1106,1209.3397000000004
18483.3914,1233.7122
18451.6493,1258.0529999999999
18418.8648,1280.9416
18384.7333,1301.8112
18349.8468,1321.3576000000003
18313.9406,1338.9520000000002
18277.2229,1354.7848
18239.0239,1366.4715
18200.2213,1376.0557
18162.8107,1390.0349
18125.9637,1405.6159000000002
18089.124499999998,1421.1969
18052.5361,1437.2816000000003
18018.4914,1458.0898000000002
17985.5272,1480.4133000000002
17949.3254,1497.3472000000002
17912.4936,1512.9596999999999
17875.6843,1528.6349
17838.8681,1544.2475
17801.9833,1559.7341999999999
17765.0833,1575.1894000000002
17728.1912,1590.6447000000003
17691.2912,1606.0998
17654.142200000002,1620.9265
17616.8195,1635.3131000000003
17579.4744,1649.6369
17542.0238,1663.6779999999999
17504.076800000003,1676.3369000000002
17466.0174,1688.6505000000002
17427.9584,1700.9328
17389.8913,1713.2463000000002
17351.8171,1725.4971
17313.675300000003,1737.5595000000003
17275.5413,1749.6220000000003
17238.1529,1761.4448000000002
17200.0193,1773.476
17162.1626,1786.3862
17124.5687,1800.0502000000001
17087.48,1815.0338000000002
17051.1558,1831.7784000000001
17015.432099999998,1849.719
16981.668,1871.1248
16949.0513,1894.2969000000003
16913.8862,1912.5266000000001
16876.3204,1906.8448000000003
16843.968,1883.7024999999999
16814.310100000002,1888.0387
16807.3148,1926.7893
16807.6313,1966.7673
16808.643,2006.755
16800.1044,2045.2341000000001
16782.245000000003,2080.8638
16763.173600000002,2116.0079
16744.7766,2151.5364
16726.1933,2186.9685
16709.3256,2223.2059
16697.6119,2261.3281
16689.0107,2300.3689
16683.3788,2339.9513
16681.7037,2379.8702000000003
16683.411500000002,2419.8052000000002
16686.644,2459.6677
16691.3239,2499.3942
16697.937700000002,2538.8351000000002
16701.6011,2578.6099
16692.3164,2616.7973
16694.1967,2655.5783
16713.327400000002,2690.0061
