#{"t_start": 1748861720.9798477, "env_id": "None"}
r,l,t
-31.895152,767,5.142222
-38.354807,764,9.262509
-72.149332,776,13.651027
-42.920693,760,18.07167
-79.308626,810,22.795927
-44.565336,765,27.264084
-48.581765,772,31.693389
-44.185899,775,36.362502
-37.456557,770,40.898428
-13.550913,809,45.616496
-43.591279,771,50.10721
-16.142641,784,54.64848
-62.484608,1022,63.477103
-22.908833,1036,69.320689
-107.755638,1446,77.719789
-258.704704,2098,90.037473
-127.37367,1262,97.30478
-126.532426,1094,103.58732
-53.887692,702,107.788213
-70.528258,926,113.334135
-79.920337,1587,127.169627
-114.680753,2196,139.964065
-103.929202,1631,149.36626
-124.260046,1558,158.025689
