#{"t_start": 1749643812.925439, "env_id": "None"}
r,l,t
-179.157491,767,1.384424
-248.591141,768,2.125835
-197.842103,754,5.629035
-177.821017,788,6.27943
-178.173378,763,6.941973
-176.698974,756,10.136232
-210.511549,762,10.763685
-225.831494,774,11.395454
-202.893477,751,14.62103
-136.170447,811,15.276975
-181.610837,765,18.438181
-139.388101,815,19.090278
-119.527142,879,28.740069
-111.330007,880,31.90958
386.383876,2504,36.457271
445.90087,3146,43.615324
493.144432,2409,47.879991
4300.691641,14478,90.4603
11469.621901,29311,213.896283
9856.952565,26091,382.986578
558.048463,2284,455.728173
615.081625,2618,460.332859
529.417223,2273,464.664246
497.945332,2225,471.425933
668.253245,2782,551.399645
812.454733,3963,559.740869
612.97765,2533,564.144026
350.482915,1664,567.995239
575.957838,2401,645.91112
525.550963,2362,650.403568
11876.334376,29054,835.51082
10644.44435,29403,951.89628
759.552299,3189,957.107573
5774.913432,15077,994.644372
10604.324258,29378,1064.262182
14017.908846,29166,1128.054387
-127.483024,847,1133.319876
255.680558,1425,1134.468618
128.337499,992,1137.592904
12342.836019,29180,1210.10455
482.300258,2186,1214.240573
840.518142,3959,1222.298409
823.906282,3979,1237.429822
513.068928,2275,1241.836071
585.043882,2610,1246.541585
611.713245,2669,1253.610909
9180.574713,20907,1311.079288
9810.13143,21019,1393.651031
14819.780346,29136,1581.191891
286.349308,1345,1584.898658
15422.705227,29095,1723.049124
15309.177127,29104,1872.293958
15566.443061,29103,2029.207513
