#{"t_start": 1749643812.91971, "env_id": "None"}
r,l,t
-102.251537,883,1.579068
-237.263802,793,2.243925
-204.816768,759,5.766229
-235.503954,777,6.392885
-165.990528,784,7.072211
-218.734805,767,10.280607
-230.816581,772,10.913653
-197.028483,760,14.144617
-186.281465,756,14.762321
-169.23798,776,15.388381
-183.969514,764,18.548538
-162.758803,773,19.168758
-129.78374,852,28.802268
-125.816677,860,31.953529
-120.299274,911,32.75236
397.355421,2399,39.46788
415.768966,2407,43.716339
333.277432,1726,47.404989
457.853425,2226,62.305723
10758.508811,29351,142.028375
12418.069695,29211,321.496954
408.311239,2033,366.420086
533.223588,2186,370.775022
537.006921,2284,375.299069
547.295743,2186,379.721927
488.068695,2111,452.368473
531.162617,2212,459.002073
537.091628,2358,463.376963
609.998221,2775,468.113659
525.040628,2447,472.690422
547.102615,2452,552.356426
849.232589,3978,560.756798
350.780489,1647,564.436601
579.119086,2609,642.641856
499.369018,2141,649.33268
422.908225,1837,650.803481
504.847207,2369,657.528341
438.666271,1933,661.496272
363.069942,1636,708.20875
393.923495,1758,712.321259
417.780963,1907,716.348281
11614.077025,29241,880.26676
10994.341697,29605,975.39855
4720.731533,15977,1011.346202
11155.854144,29674,1081.474792
12983.573117,29179,1146.307863
829.587139,4111,1158.961011
565.729213,2798,1166.33845
410.490547,1983,1170.486153
527.246343,2439,1174.997265
424.274409,1951,1184.094314
284.113545,1403,1187.794947
464.685377,2174,1192.14598
479.892742,2243,1196.360687
570.05885,2636,1200.847053
539.36036,2461,1210.313164
624.068676,2890,1217.466135
829.249477,3969,1225.527197
8689.089487,21571,1286.108365
519.950147,2426,1290.744688
10847.612347,22742,1376.271731
451.594908,1975,1380.426699
14757.301324,29133,1523.980186
183.804703,1021,1524.815099
201.690831,1064,1528.172629
166.048889,965,1528.946249
15336.052721,29116,1680.983545
15472.249215,29097,1833.229658
15511.659315,29100,2025.189712
