#{"t_start": 1748861720.9801972, "env_id": "None"}
r,l,t
-10.893298,775,5.185068
-71.231903,778,9.390448
-42.203837,762,13.694638
-32.491715,780,18.235327
-53.347508,761,22.681684
-36.05626,787,27.270357
-45.652245,764,31.648935
-34.375948,773,36.306786
-31.6732,774,40.867142
-28.663388,814,45.616143
6.726212,832,50.466817
-11.325507,802,55.109458
-190.985394,2055,69.765299
-344.817733,3095,87.864481
-161.183357,1507,96.590953
-102.403529,1062,102.613597
-66.434075,770,107.225277
-93.780294,969,113.048087
8.278602,2025,129.493141
-37.416958,1008,135.459434
-30.897318,1086,141.518678
-125.958179,1654,151.044631
