#{"t_start": 1749643812.9229076, "env_id": "None"}
r,l,t
-192.51698,792,1.406426
-212.40158,759,2.141028
-189.655991,757,5.647187
-232.91181,768,6.281102
-164.135341,765,6.945371
-192.515003,754,10.137851
-197.399323,753,10.75439
-181.430771,764,11.381979
-190.084131,759,14.613911
-184.133768,753,15.22092
-191.81175,753,18.375755
-110.115346,918,19.109175
-168.272957,770,28.668866
-125.134385,848,31.805854
-134.964184,824,32.5283
446.971558,2954,39.724994
413.138619,2417,43.981632
402.875247,2102,47.976595
4032.101429,14442,90.532866
11573.40386,29464,214.099287
9239.568123,24718,379.573851
503.456081,2039,383.776265
475.342643,2142,456.374
509.074525,2251,463.009527
646.404699,2951,467.921366
629.165338,2748,472.743377
590.444214,2747,555.187956
703.42766,3207,560.396828
530.730135,2266,564.618424
380.301042,1792,568.567151
505.902923,2056,646.179792
445.503355,1943,650.325158
11966.255411,29006,835.3826
10721.261396,29425,951.795882
653.722805,3016,956.842379
813.69826,4416,965.254309
3689.03569,15029,1002.898917
11149.969861,29447,1072.782184
12771.976644,29308,1138.416715
427.311429,2145,1142.397844
501.467256,2495,1148.903098
278.222496,1428,1150.058169
399.195419,2004,1158.752432
335.117556,1707,1162.684619
381.404178,1854,1166.740792
545.786621,2587,1171.364752
580.980171,2636,1183.571045
632.607261,2943,1188.553101
484.250165,2294,1193.026302
444.504014,2038,1197.062431
472.350792,2169,1201.142425
402.072316,1866,1210.108082
326.647896,1557,1213.694552
864.886597,4018,1221.841033
846.359455,4082,1237.030971
532.155447,2377,1241.540024
485.32669,2152,1245.82662
601.832814,2625,1250.503179
546.789722,2454,1260.54396
690.891239,3260,1268.146115
9141.528996,20287,1319.610045
14803.532605,29101,1423.451941
1937.757583,7354,1511.824191
15229.047621,29117,1664.589898
15356.772865,29083,1796.686365
15396.729278,29101,1981.362179
