x,y
1484.561781557921,1825.495768751422
1491.135773288896,1824.790958206241
1497.363613944204,1823.410615027421
1504.926268421628,1817.994603584418
1515.344090346131,1822.061324811937
1526.212577451057,1829.205397702954
1532.652678994863,1830.947725249719
1544.334749455838,1834.172530871028
1551.81872396575,1837.733799920118
1563.38603811485,1843.915254077302
1569.465605150071,1846.099157465338
1582.122644593551,1851.994102093403
1586.877205921776,1854.705739361912
1600.627089924561,1858.947628324655
1606.028934155059,1861.490101532532
1619.798217504385,1869.285887612699
1623.341213582488,1870.224448775777
1637.637181124238,1872.811514583014
1643.518054110655,1875.910107229058
1656.788220583462,1883.069553802339
1661.046258696113,1884.408489640927
1675.164891585569,1889.402331484846
1679.915876154119,1891.525815852994
1694.350999033452,1899.87997708575
1696.826845016385,1900.673862546235
1713.24488370348,1909.988528241689
1713.466572551756,1910.107004834725
1713.494958688357,1910.123004926091
1713.676378921788,1910.160028216636
1731.445675343489,1914.283128621208
1733.916335939321,1915.526869491074
1750.611333038654,1924.642480304694
1750.792437888684,1924.710276469363
1768.891548688112,1930.45816306235
1770.582273796727,1930.834078578253
1786.847661347198,1934.645709953645
1790.637019336068,1935.376006347024
1804.751600333326,1937.250956778096
1806.747606512566,1937.663258318635
1807.396793749187,1937.671083237803
1808.30059649755,1937.581997833955
1827.709600019196,1936.76347004892
1831.940479761405,1935.668299555412
1847.32425094613,1932.804161031575
1852.454433243205,1931.780620677408
1866.692912345168,1927.76368403383
1871.211291045421,1926.759707789218
1886.025046926719,1922.607614986734
1889.267190760709,1921.323094464894
1904.822350905009,1915.108619389254
1905.830644279716,1914.939904228907
1924.389912698811,1910.97755443272
1925.657193672633,1910.647647866428
1943.95347635909,1906.797321483149
1945.621170454095,1906.412383882735
1963.591151653507,1902.941815579579
1966.068345357387,1902.481607741537
1983.094336619738,1898.500633297432
1985.950209991806,1898.194251091622
2003.135686806507,1896.416264399038
2007.349338283387,1894.867524311772
2022.091798957821,1889.609504061966
2025.315014166923,1889.372945326143
2042.313607032623,1888.286072610302
2047.302852258846,1886.413616966995
2061.181286624432,1881.091989485566
2065.071157820286,1880.793614812311
2081.380254673387,1879.665007066865
2086.527310627102,1877.499014974336
2100.059743576871,1871.65550988689
2102.787310987633,1870.927682836026
2119.506489682739,1866.998947342474
2122.442516783634,1866.502303649393
2139.516794090005,1864.759394579716
2144.432376523841,1863.544237406725
2158.704364832076,1858.951030705329
2162.326610926422,1858.003608858031
2178.670839137206,1856.517871205748
2184.600884952311,1855.224935203051
2197.573777085954,1849.476429476125
2201.353563030365,1848.964372091259
2217.552005815877,1847.09319607586
2221.745114396067,1844.999530677472
2235.868164715561,1837.543513427617
2236.395918232676,1837.417238430286
2255.329507019953,1832.921063511371
2255.791543565365,1832.823240467685
2274.885305737099,1828.707927782792
2275.671808749552,1828.534974953051
2294.544995224299,1824.944737801596
2296.197316379177,1824.65348894881
2314.059267186491,1820.582063658592
2315.777328563986,1820.204970409519
2333.792296600242,1817.13954428331
2336.699237375205,1816.571863431597
2353.261827208411,1812.58162942747
2355.841952746546,1811.823011787084
2372.663633057839,1807.70183572276
2375.125763129689,1807.158780345731
2392.491456912533,1804.66563175331
2396.173470953075,1803.605681913162
2411.442350659329,1797.838496650688
2413.415946754637,1797.656307476523
2431.516273601143,1795.869991343537
2434.886193557754,1794.368465261312
2450.248966867097,1788.09088397317
2451.516157494438,1788.033608058303
2470.536607144981,1787.074180256
2474.734672719064,1785.850015982874
2489.823768815274,1781.698481125933
2494.472592265013,1781.472562022358
2510.222434685492,1781.143801428238
2517.544613097639,1779.193110454584
2529.555969579327,1775.968031502004
2537.005524967309,1774.640350101845
2549.273136503296,1772.453908142279
2556.889763836544,1770.354023227061
2568.378083075561,1766.310114071054
2574.1605893431,1764.425924598136
2587.336459294555,1759.512678424345
2591.774647853992,1758.712091249568
2607.092926708786,1756.175888922289
2611.883282771364,1754.566955346387
2626.076469996464,1749.483636982438
2629.817166098741,1749.052969620256
2646.146510357474,1747.498898208138
2651.245455206346,1745.738781930902
2665.643052522966,1743.029288702254
2671.573668985653,1741.733388326211
2684.762673022612,1736.960152145992
2688.840251586447,1735.802615452493
2704.524148197968,1733.637937438549
2709.373428815493,1731.924788147898
2722.804160429645,1723.93056647549
2722.716796875,1723.552734375
2718.1787109375,1703.892822265625
2713.640625,1684.23291015625
2709.1025390625,1664.573120117188
2704.572021484375,1644.913330078125
2730.328369140625,1641.366821289062
2745.912353515625,1637.740600585938
2761.49609375,1634.1455078125
2780.98388671875,1629.60498046875
2800.464111328125,1625.064453125
2819.94384765625,1620.555053710938
2839.424072265625,1616.014282226562
2858.904296875,1611.473754882812
2878.384033203125,1606.96435546875
2897.8642578125,1602.423583984375
2917.352294921875,1597.883056640625
2936.83203125,1593.373657226562
2956.31201171875,1588.8330078125
2975.792236328125,1584.292358398438
3004.783203125,1585.791748046875
3007.82568359375,1561.5498046875
3010.867919921875,1537.339111328125
3037.749267578125,1570.094360351562
3034.311736646236,1579.183416168993
3037.400864586931,1602.304376036406
3040.047039149018,1615.580992489924
3050.465020394652,1628.133722906851
3053.491741584358,1634.348088520453
3063.834022453665,1652.50747245917
3069.806865409861,1656.615288229643
3073.117630145342,1661.615448301794
3088.121380018992,1680.366896210219
3113.056517104545,1688.189722398699
3117.015320038442,1691.015757700063
3117.440514620293,1693.251293382911
3117.422357965923,1697.230026416061
3109.783863716322,1725.98255462878
3105.181612982097,1748.622925077809
3103.135168330255,1758.302407210854
3101.248979201087,1775.588367842847
3098.422260654861,1789.565228819245
3098.856787107671,1795.375746270567
3103.093724335502,1821.378583937781
3097.104073678544,1853.507991589528
3097.08244391503,1854.077542253501
3090.510164085379,1887.570513696056
3088.726421198156,1907.158893422202
3088.280291724684,1927.996237481616
3100.025766417582,1955.350498565425
3100.102558259007,1970.233077724607
3095.27934377218,1988.419915534699
3085.217643452374,2007.460360530369
3078.141860492984,2035.488945223243
3077.680791279865,2050.861002274813
3073.174959567633,2065.305900988994
3062.684436670487,2099.16755441411
3054.746517630334,2117.816812877587
3040.871478231131,2149.901651209408
3029.133158841443,2195.266113768491
3025.540270591432,2215.093010806183
3026.659212517942,2257.760669781366
3026.125668612871,2259.867314521063
3015.260739450189,2290.566798361236
3007.515653503014,2307.043841743515
3008.051763916917,2309.750734339453
3005.74033197409,2313.583210863269
2973.729917398079,2362.800020094696
2994.405950317663,2418.656010722323
2996.506288889788,2426.658625759757
2995.110356864301,2433.532761148268
2985.961035460267,2451.838006238365
2962.675757671827,2487.790553022799
2954.962698127338,2510.566410316027
2948.2347524585,2546.419791820369
2938.243648144073,2573.206628019695
2937.696436276935,2607.084191329362
2933.670413315451,2630.343154607899
2926.753578017609,2668.795262214896
2920.386837637955,2693.380763640875
2920.726693371821,2739.853498768417
2918.47107570181,2757.991456544431
2924.379114772415,2780.84664126681
2920.381452111113,2812.529294735201
2918.106709272439,2825.566758079815
2907.972900646946,2865.570914710969
2907.388094731828,2888.48549685136
2901.473952887089,2919.320677851234
2901.549571430206,2956.024477119994
