x,y,bank
262.25,0.0,left
262.1414324311302,0.4880707766192403,left
262.03286486226045,0.9761415532384806,left
262.10184318686197,1.494450878946423,left
262.17612863839264,1.988901757892846,left
262.4432595147106,2.423708782742578,left
262.804319486022,3.0,left
263.1798181436262,3.3301526285484426,left
263.9308154588346,3.990457885645327,left
264.36782366883733,4.261517668320174,left
264.79397916763605,4.523035336640348,left
265.2201346664348,4.7845530049605225,left
266.02119752210643,5.217982699593914,left
266.9211609495361,5.65394809878174,left
267.37114266325096,5.8719307983756535,left
268.0974869535046,6.191266241883378,left
268.5594579750155,6.382532483766756,left
269.48340001803723,6.765064967533512,left
269.94537103954815,6.95633120941689,left
270.5190596503424,7.175429669097453,left
270.98727373727314,7.350859338194907,left
271.9237019111346,7.701718676389813,left
272.719801671803,8.0,left
273.1909669619231,8.167341774181024,left
273.6621322520432,8.334683548362047,left
274.1332975421633,8.50202532254307,left
275.07562812240343,8.836708870905117,left
276.00741239333155,9.164904261666466,left
276.9514602406025,9.4947127849994,left
277.423484164238,9.659617046665868,left
278.36753201150896,9.9894255699988,left
278.86900718988795,10.167224842426117,left
279.34021399382397,10.334449684852233,left
280.28262760169594,10.668899369704466,left
281.2156042307615,11.0,left
281.68441172675347,11.173837659043695,left
282.6220267187373,11.521512977131083,left
283.5596417107211,11.869188295218473,left
284.3770352714078,12.18474091597221,left
284.84165424859856,12.369481831944418,left
285.77089220298,12.738963663888837,left
286.42739233374596,13.0,left
287.3444705845072,13.398707263516439,left
288.26154883526834,13.797414527032878,left
288.720087960649,13.996768158791099,left
289.1778042757873,14.217360354732689,left
290.07836960088144,14.652081064198065,left
290.79911679029465,15.0,left
291.67886819489104,15.475433976605242,left
292.55861959948743,15.950867953210482,left
293.07754508705716,16.258470221547363,left
293.9335664526159,16.775410664642084,left
294.7216796662783,17.277076853693423,left
295.55409402739264,17.831230561080265,left
296.2149361890687,18.289972981220895,left
296.62226366194756,18.579945962441794,left
297.21231708303094,19.0,left
298.018542783337,19.59160807986874,left
298.57508701086044,20.0,left
299.389699700771,20.58000531500727,left
299.9795787781477,21.0,left
300.83036248382007,21.525516018939832,left
301.5985279157758,22.0,left
302.04415116459944,22.226759608634005,left
302.4897744134231,22.453519217268006,left
302.93539766224677,22.68027882590201,left
303.38102091107044,22.907038434536016,left
304.0246623113576,23.19370141110655,left
304.94657285655234,23.581104233319646,left
305.40752812914974,23.774805644426195,left
305.86848340174714,23.968507055532744,left
306.41434008412637,24.168052479182847,left
307.35616462031237,24.504157437548546,left
308.2979891564984,24.840262395914245,left
309.22267002598795,25.14968570790939,left
310.17680668045136,25.44905712372817,left
310.6538750076831,25.598742831637562,left
311.6080116621465,25.89811424745634,left
312.4134687127826,26.137459972570003,left
313.37493583326267,26.41237991771001,left
314.3364029537427,26.687299862850015,left
315.29787007422277,26.962219807990017,left
315.9127319804571,27.130258350901485,left
316.39546665087187,27.260516701802974,left
316.8782013212866,27.39077505270446,left
317.36093599170135,27.521033403605948,left
317.8436706621161,27.651291754507433,left
318.8091400029455,27.911808456310407,left
319.61942490653735,28.127581888701528,left
320.5863227536243,28.38274566610458,left
321.55322060071126,28.637909443507635,left
322.5201184477982,28.893073220910686,left
323.4083365765679,29.129128680062855,left
324.37441273088535,29.38738604018856,left
324.8574508080441,29.516514720251415,left
325.3404888852029,29.64564340031427,left
326.30656503952036,29.903900760439974,left
327.14738171222564,30.13534435272377,left
327.6287151789468,30.27068870544754,left
328.1100486456679,30.40603305817131,left
328.59138211238906,30.54137741089508,left
329.5540490458313,30.81206611634262,left
330.0353825125524,30.94741046906639,left
330.7001895362246,31.147399535393813,left
331.1779691684461,31.294799070787626,left
331.6557488006676,31.44219860618144,left
332.6113080651105,31.736997676969068,left
333.089087697332,31.88439721236288,left
333.93485493389005,32.167656704924966,left
334.8769615717898,32.50297011477489,left
335.8190682096896,32.83828352462481,left
336.73124611564197,33.20101229694195,left
337.1890605501874,33.402024593883894,left
338.10468941927815,33.80404918776778,left
338.98034968313317,34.25619977367756,left
339.4097232686826,34.51239954735512,left
340.2269088253379,35.0,left
340.94666563954416,35.69422628040407,left
341.4492342965943,36.46429647457897,left
341.6633211299777,37.0,left
341.5708755084066,37.49137949392738,left
341.4751862511039,38.0,left
340.9138387103195,38.82758017040969,left
340.4406651272205,39.350865265379404,left
339.78162133693695,40.0,left
339.01821748968797,40.64592148594506,left
338.59973799064755,41.0,left
337.80808588056277,41.610972124239964,left
337.4122598255204,41.916458186359954,left
336.9017532442758,42.2969636870803,left
336.09723458431654,42.8908910612409,left
335.550646633632,43.30160420572816,left
335.1518548294446,43.60320841145633,left
334.62720288336277,44.0,left
333.8608473828465,44.64241672365249,left
333.4776696325883,44.96362508547873,left
333.08673036041654,45.35945972409117,left
332.7391836631853,45.71891944818233,left
332.192426804957,46.41758777228131,left
331.91743507337014,46.835175544562624,left
331.6687568215753,47.47995992457023,left
331.5169170051813,48.0,left
331.61955629037664,48.99471864219718,left
331.8403246334642,49.4488893609854,left
332.0605480236709,49.897778721970795,left
332.4310705898727,50.38387629770232,left
332.7514437910965,50.76775259540465,left
333.3152465835344,51.336330791521554,left
333.6852217160427,51.67266158304311,left
334.43687726964544,52.31091977594478,left
334.8284496038654,52.62183955188956,left
335.30470483377576,53.0,left
335.69950530880345,53.306810340304764,left
336.4891062588588,53.92043102091428,left
336.97266877745193,54.32358371060965,left
337.7350166828812,54.97075113182893,left
338.1111652060098,55.3650276388236,left
338.45285925467743,55.730055277647196,left
338.9571791040437,56.432067084348475,left
339.2088098545942,56.86413416869695,left
339.36606136600705,57.493858791641635,left
339.44612921588123,58.0,left
339.1795607818278,58.963815993831965,left
338.9024474124651,59.42267543577048,left
338.53761262074113,60.0,left
338.2190970742222,60.38541905327287,left
337.71119902282953,61.0,left
337.03516515261333,61.73687054922863,left
336.44576179149095,62.359022724034354,left
336.09776368283667,62.718045448068715,left
335.46487547666385,63.34741013030833,left
335.105283761855,63.694820260616666,left
334.41396147839635,64.33021736897042,left
334.03851975291786,64.66043473794085,left
333.65244990959764,65.0,left
332.8615364447259,65.61192801135805,left
332.35995561257005,66.0,left
331.52641035051425,66.55245117078738,left
330.8511430583894,67.0,left
329.97884877600075,67.48898127255755,left
329.10655449361207,67.9779625451151,left
328.6153259528418,68.21394396643649,left
328.16341005444315,68.42788793287298,left
327.25957825764596,68.85577586574594,left
326.4912605548071,69.18710578899002,left
325.5639172015093,69.56131736697009,left
324.63657384821147,69.93552894495014,left
324.00472966497995,70.16475282812875,left
323.53265286442354,70.32950565625752,left
322.5884992633107,70.65901131251503,left
321.6443456621979,70.98851696877256,left
321.1334893758024,71.14683567689464,left
320.65553615215924,71.29367135378929,left
320.1775829285161,71.44050703068393,left
319.6996297048729,71.58734270757859,left
318.7437232575866,71.88101406136788,left
317.87439725110653,72.13286310659255,left
317.39237298314214,72.2657262131851,left
316.4283244472134,72.53145242637021,left
315.4642759112847,72.79717863955533,left
314.72844472154975,73.0,left
313.75881497187146,73.24457748984496,left
312.7891852221932,73.48915497968991,left
312.30437034735405,73.61144372461239,left
311.3347405976758,73.85602121445734,left
310.76393535360694,74.0,left
309.7905255550908,74.22907065318991,left
308.81711575657476,74.45814130637983,left
308.3304108573167,74.57267663297479,left
307.3570010588006,74.8017472861647,left
306.87029615954253,74.91628261275966,left
306.02660758034017,75.10914924631508,left
305.05072553413,75.32744773894525,left
304.0748434879198,75.54574623157542,left
303.0989614417096,75.76404472420559,left
302.1230793954994,75.98234321683576,left
301.55545769902557,76.1057510320204,left
300.5780801481751,76.31725309606118,left
300.08939137274984,76.42300412808159,left
299.1120138218994,76.63450619212237,left
298.6233250464741,76.74025722414277,left
297.64594749562366,76.95175928818355,left
296.9339530495405,77.1039828031413,left
295.95581691044555,77.31194840942393,left
294.97768077135066,77.51991401570655,left
293.9995446322557,77.72787962198917,left
293.02140849316083,77.93584522827179,left
292.2305097367441,78.10356804133355,left
291.2521975967513,78.31070412400064,left
290.2738854567585,78.51784020666773,left
289.2955733167656,78.72497628933482,left
288.31726117677283,78.93211237200191,left
287.50755852494353,79.10398959863875,left
287.01849190026445,79.2079791972775,left
286.0403586509064,79.41595839455499,left
285.5512920262273,79.51994799319374,left
284.57315877686926,79.72792719047123,left
283.59502552751115,79.93590638774873,left
282.8047671432551,80.10512446515425,left
282.3159432006888,80.21024893030848,left
281.3382953155563,80.42049786061698,left
280.84947137299,80.52562232577121,left
280.36064743042374,80.63074679092546,left
279.87182348785745,80.7358712560797,left
278.89417560272494,80.94612018638819,left
278.1555197427255,81.10835867145222,left
277.6674025454039,81.21671734290445,left
276.6911681507607,81.43343468580888,left
276.20305095343906,81.5417933572611,left
275.71493375611743,81.65015202871332,left
275.2268165587958,81.75851070016554,left
274.2505821641526,81.97522804306998,left
273.65216861833954,82.11402501239603,left
272.67851920186956,82.34207503718808,left
271.7048697853996,82.57012506198012,left
270.7312203689296,82.79817508677218,left
269.869537897408,83.0,left
268.89990289002924,83.24455664469721,left
267.93026788265047,83.48911328939442,left
266.9606328752717,83.73366993409164,left
265.99099786789293,83.97822657878886,left
265.4227659264895,84.13330162032338,left
264.4589595600047,84.39990486097012,left
263.9770563767623,84.5332064812935,left
263.0132500102775,84.79980972194025,left
262.53134682703507,84.93311134226363,left
261.81177667573735,85.14746733903415,left
260.85625925796165,85.44240201710245,left
259.90074184018596,85.73733669517074,left
259.04977590963244,86.0,left
258.57784063417967,86.16515779056199,left
258.1059053587269,86.33031558112397,left
257.6339700832741,86.49547337168596,left
256.6900995323686,86.82578895280994,left
256.2181642569158,86.99094674337192,left
255.72833656897146,87.18639423107207,left
254.80042021363968,87.5591826932162,left
253.8725038583079,87.93197115536033,left
253.25012292540472,88.21153442833719,left
252.79707415802082,88.42306885667438,left
251.89097662325307,88.84613771334875,left
251.12268888543122,89.23977570905114,left
250.24517510354738,89.71932712715342,left
249.80641821260545,89.95910283620456,left
249.31043557545522,90.26951013322174,left
248.88928917799845,90.53902026644349,left
248.16894537582994,91.0,left
247.76765467893915,91.2982713137211,left
247.36636398204837,91.5965426274422,left
246.9650732851576,91.8948139411633,left
246.4422347849644,92.32340873711618,left
246.0609123639649,92.64681747423236,left
245.64448448084295,93.0,left
244.91598366662782,93.68504493552459,left
244.22941165998284,94.35545871428654,left
243.59179881215096,95.0,left
243.24826063089864,95.36329260661601,left
242.64617488533258,96.0,left
242.30850582589406,96.36875412716051,left
241.73047243058681,97.0,left
241.40065696500048,97.37579483586137,left
240.8528247512877,98.0,left
240.5400884554754,98.39012306940452,left
240.05118977930397,99.0,left
239.77744239477144,99.41840455239111,left
239.39692494645715,100.0,left
239.20227187855787,100.46055421304924,left
239.00761881065858,100.92110842609847,left
238.88538889632076,101.49203577550493,left
238.79362499713898,102.0,left
238.8284065154271,102.4987887789291,left
238.86335695534945,103.0,left
239.19200751898723,103.94445159061783,left
239.48672920908706,104.41732395214065,left
239.76212114609632,104.8346479042813,left
240.2261129953427,105.35222575803417,left
240.878761369735,106.0,left
241.68973945126768,106.58507653454363,left
242.2648673467338,107.0,left
242.70114047194298,107.24426575736322,left
243.13741359715215,107.48853151472645,left
244.00995984757046,107.9770630294529,left
244.50594664657936,108.20726020070303,left
244.96096665625427,108.41452040140607,left
245.87100667560404,108.82904080281213,left
246.7129637744346,109.17959434121656,left
247.17959625573332,109.35918868243311,left
248.11286121833072,109.71837736486623,left
248.57949369962944,109.89797170608279,left
249.3186009657261,110.15910117809203,left
249.79261237395352,110.31820235618405,left
250.7406351904083,110.63640471236809,left
251.21464659863574,110.79550589046012,left
251.82389752939343,111.0,left
252.30269078315803,111.14407296814296,left
253.26027729068718,111.4322189044289,left
253.73907054445178,111.57629187257186,left
254.69665705198094,111.86443780885779,left
255.62904928329948,112.1333760799545,left
256.1109318637026,112.266752159909,left
256.5928144441057,112.40012823986352,left
257.07469702450885,112.53350431981802,left
257.556579604912,112.66688039977252,left
258.0384621853151,112.80025647972703,left
258.5203447657182,112.93363255968153,left
259.24402735890783,113.12586167250174,left
259.72792697597225,113.2517233450035,left
260.69572621010104,113.50344669000698,left
261.6635254442298,113.75517003501048,left
262.1474250612942,113.88103170751222,left
263.08995869527877,114.1210046947717,left
263.5750956489766,114.2420093895434,left
264.5453695563723,114.48401877908681,left
265.5156434637679,114.72602816863021,left
266.00078041746576,114.8470328634019,left
266.61406249552965,115.0,left
267.09985572228874,115.11834247265881,left
267.5856489490478,115.23668494531762,left
268.0714421758069,115.35502741797643,left
268.557235402566,115.47336989063525,left
269.5288218560841,115.71005483595287,left
270.0146150828432,115.82839730861168,left
270.5004083096023,115.9467397812705,left
271.205047100238,116.11746240312222,left
272.1770606471657,116.35238720936664,left
272.6630674206296,116.46984961248884,left
273.6350809675573,116.70477441873327,left
274.607094514485,116.93969922497769,left
275.34249073577007,117.11790889969278,left
275.8283893788771,117.23581779938554,left
276.3142880219841,117.35372669907832,left
276.80018666509113,117.4716355987711,left
277.28608530819815,117.58954449846387,left
277.7719839513052,117.70745339815664,left
278.74378123751916,117.9432711975422,left
279.46316134474233,118.11912225094505,left
280.4343665533976,118.35736675283515,left
280.91996915772523,118.47648900378019,left
281.4055717620529,118.59561125472524,left
282.37677697070814,118.83385575661534,left
282.8623795750358,118.95297800756039,left
283.5394098188762,119.12016833503337,left
284.5100994113934,119.36050500510012,left
285.4807890039106,119.60084167516688,left
286.4514785964278,119.84117834523362,left
287.0929392911494,120.0,left
287.5782058899763,120.12048372530333,left
288.0634724888032,120.24096745060666,left
288.5487390876301,120.36145117590999,left
289.034005686457,120.48193490121332,left
290.0045388841108,120.72290235182,left
290.4898054829377,120.84338607712333,left
290.9750720817646,120.96386980242666,left
291.60554446862693,121.12174182878671,left
292.09049696849024,121.2434836575734,left
292.57544946835355,121.36522548636012,left
293.06040196821687,121.48696731514681,left
294.03030696794343,121.73045097272022,left
294.51525946780674,121.85219280150693,left
295.00021196767005,121.97393463029363,left
295.5883371913365,122.12433114143417,left
296.5569274396246,122.3729934243025,left
297.5255176879126,122.62165570717086,left
298.4941079362007,122.8703179900392,left
298.9992457833141,123.0,left
299.4825425780097,123.12815696718071,left
299.9658393727053,123.25631393436143,left
300.4491361674009,123.38447090154216,left
300.9324329620965,123.51262786872287,left
301.41572975679213,123.64078483590359,left
302.3823233461833,123.89709877026502,left
303.2523248128873,124.13314172996014,left
303.7342721956411,124.26628345992029,left
304.2162195783949,124.39942518988045,left
304.6981669611487,124.53256691984059,left
305.6620617266562,124.79885037976088,left
306.14400910941,124.93199210972104,left
306.8703993578767,125.13926142069077,left
307.35061416055066,125.27852284138154,left
308.31104376589855,125.55704568276307,left
308.7912585685725,125.69630710345385,left
309.2714733712465,125.83556852414462,left
309.75168817392046,125.97482994483539,left
310.3165377438459,126.14650159179325,left
311.2726492093185,126.43950477537975,left
311.7507049420548,126.586006367173,left
312.7068164075274,126.8790095507595,left
313.57703918389603,127.15486104048811,left
314.0524527492672,127.30972208097623,left
314.5278663146384,127.46458312146434,left
315.0032798800096,127.61944416195246,left
315.95410701075195,127.92916624292867,left
316.6437976010567,128.164297528891,left
317.116033052924,128.32859505778202,left
318.0605039566586,128.65719011556405,left
319.0049748603932,128.98578517334607,left
319.5142802945249,129.17480359857788,left
320.4511766642995,129.52441079573362,left
320.91962484918685,129.6992143943115,left
321.3880730340742,129.87401799288938,left
322.18967395354656,130.18632125474556,left
323.1176489317222,130.5589637642367,left
323.58163642081007,130.74528501898226,left
324.21594174811617,131.0,left
324.67473036806274,131.19877877705514,left
325.59230760795583,131.5963363311654,left
326.0510962279024,131.7951151082205,left
326.509884847849,131.99389388527564,left
326.9767604778329,132.2121037749757,left
327.8823254697381,132.63631132492708,left
328.33510796569067,132.84841509990278,left
329.1046205373517,133.22617347965937,left
329.5505415584965,133.45234695931873,left
330.44238360078594,133.90469391863746,left
331.0683774285844,134.2409930012301,left
331.50646688675266,134.4819860024602,left
332.3826458030891,134.9639720049204,left
332.877280700439,135.25658857279296,left
333.3064220574673,135.51317714558596,left
334.12062753085047,136.0,left
334.95821790621216,136.5462987855574,left
335.6538368249312,137.0,left
336.0608498699409,137.29041415459983,left
336.8748759599603,137.87124246379946,left
337.44727835841235,138.31044383713436,left
337.8392281306859,138.62088767426874,left
338.2311779029595,138.9313315114031,left
338.6902426052912,139.33368010443496,left
339.4338167645037,140.0,left
340.12455665383663,140.7231033157747,left
340.69708230922976,141.39385599562905,left
341.171127631329,142.0,left
341.4302505071824,142.4276158734302,left
341.6893733830358,142.8552317468604,left
341.97662501549337,143.45846403959547,left
342.17615126539,143.91692807919094,left
342.3459837809273,144.4817986002117,left
342.489763174206,145.0,left
342.55809384498934,145.49530891313432,left
342.6277188397944,146.0,left
342.6378729599448,146.4998968832109,left
342.64803126920015,147.0,left
342.61117526658063,147.49863978488577,left
342.57411818858236,148.0,left
342.5026521038021,148.494866243268,left
342.42970323655754,149.0,left
342.23923050927766,149.9816924875757,left
342.1251500457298,150.48763047847646,left
342.0146216943406,150.97526095695292,left
341.8895399406028,151.48551610867554,left
341.7700656412052,151.9710322173511,left
341.6388815916098,152.4843657414948,left
341.51482584419676,152.9687314829896,left
341.3808648498768,153.48387598328722,left
341.2465182123706,154.0,left
340.9916252029733,154.9669692620556,left
340.8522752891733,155.48263071060398,left
340.72163227488676,155.965261421208,left
340.574319357644,156.48060478082382,left
340.425278888084,157.0,left
340.1221177875509,157.95293931974894,left
339.93306448133586,158.46871690615313,left
339.758982713519,158.93743381230627,left
339.5292264357045,159.45535682583514,left
339.3227072812289,159.9107136516703,left
339.03891142170625,160.43681155590556,left
338.7252186103724,161.0,left
338.1886187016789,161.84383679582615,left
337.80304490675127,162.40993919284585,left
337.3909934721887,163.0,left
337.0850695976255,163.39548777853713,left
336.6174578759819,164.0,left
335.9605068636152,164.75393326452038,left
335.3925642077552,165.35357804933508,left
334.74623242393136,166.0,left
333.9885001802084,166.65256558813854,left
333.585073672235,167.0,left
332.7810086687709,167.59454139486184,left
332.37897616703884,167.89181209229278,left
331.8110331927312,168.2687555544295,left
330.9677765248933,168.80626666328854,left
330.2267572805769,169.24280631403485,left
329.78967022532953,169.4856126280697,left
328.9154961148348,169.97122525613943,left
328.4148957306004,170.22040215458452,left
327.96609411490084,170.44080430916904,left
327.0684908835018,170.88160861833808,left
326.36998242807044,171.20188593185068,left
325.91255257495544,171.40377186370137,left
324.9976928687255,171.80754372740273,left
324.09797041064576,172.18713924882272,left
323.6343122374728,172.37427849764543,left
322.7069958911269,172.74855699529084,left
322.0840180553496,173.0,left
321.1479555719887,173.35183380628396,left
320.21189308862785,173.70366761256793,left
319.74386184694737,173.87958451570992,left
318.9524928240813,174.16780455759587,left
318.01049148554705,174.50341367278762,left
317.0684901470129,174.83902278797936,left
316.1437800781509,175.1624544142558,left
315.67090740682295,175.32490882851158,left
314.72516206416714,175.6498176570232,left
314.2522893928392,175.81227207127898,left
313.77941672151127,175.97472648553477,left
313.2319796247206,176.15951920049795,left
312.28423783568206,176.47855760149383,left
311.8103669411628,176.6380768019918,left
310.8626251521243,176.95711520298767,left
310.26105134027085,177.15859984505872,left
309.7868719552831,177.31719969011746,left
308.83851318530765,177.63439938023492,left
307.8901544153322,177.9515990703524,left
307.2715040137984,178.15930768577599,left
306.7975619696066,178.31861537155197,left
306.3236199254148,178.47792305732796,left
305.849677881223,178.63723074310397,left
305.3757358370312,178.79653842887996,left
304.77043551858515,179.0,left
304.29701633559415,179.1608548326167,left
303.82359715260316,179.32170966523339,left
303.35017796961216,179.4825644978501,left
302.87675878662117,179.64341933046677,left
301.92992042063923,179.96512899570018,left
301.35454099367024,180.162813992071,left
300.88179200743554,180.32562798414202,left
299.93629403496624,180.651255968284,left
298.9907960624969,180.97688395242602,left
298.45229808549055,181.16674194894773,left
297.50954229004594,181.5002258468432,left
297.0381643923236,181.66696779579092,left
296.5667864946013,181.83370974473863,left
295.627630914152,182.17316976286895,left
294.68952168122036,182.51950928860686,left
294.2204670647545,182.6926790514758,left
293.38804512657225,183.0,left
292.9224692279824,183.18231588699908,left
291.9913174308027,183.54694766099726,left
291.06016563362306,183.91157943499542,left
290.3736743174824,184.19432259518285,left
289.4522868224481,184.58296778554856,left
288.5308993274138,184.97161297591427,left
288.00959583519136,185.20947543826188,left
287.1015869348716,185.62842631478566,left
286.6475824847117,185.83790175304753,left
285.85127722513425,186.22801289399044,left
285.4062939443538,186.45602578798085,left
284.516327382793,186.91205157596173,left
283.9115233197115,187.2497334304578,left
283.4783568231864,187.49946686091562,left
282.61202383013637,187.99893372183126,left
282.19259840533243,188.27500968520388,left
281.35744650766577,188.82502905561165,left
280.69402310797085,189.30298109042184,left
280.2962763809613,189.60596218084368,left
279.7789924386889,190.0,left
279.4054723915567,190.33238949199756,left
279.03195234442455,190.66477898399512,left
278.6584322972924,190.99716847599268,left
278.30974728718405,191.36142440798204,left
277.9642441796512,191.72284881596406,left
277.38412920575854,192.38815738201936,left
276.88733044755645,193.0,left
276.6022918004423,193.4107955326575,left
276.19346056715585,194.0,left
275.6796275939052,194.8578902468267,left
275.36265658705605,195.44299381605364,left
275.13080215225216,195.8859876321073,left
274.8622335023129,196.4542709971324,left
274.6533367307621,196.9085419942648,left
274.4264801222838,197.46459564165218,left
274.21351534407586,198.0,left
273.9068158790196,198.95180640790772,left
273.78628643197277,199.48885067528354,left
273.67649682983756,200.0,left
273.64189675920653,200.4988013984667,left
273.6072966885755,200.9976027969334,left
273.6420411315612,201.49877975203773,left
273.67695185995757,201.9975595040755,left
273.7771624327763,202.48988983152017,left
273.88133135810494,203.0,left
274.0452048176907,203.4723827783095,left
274.22823955863714,204.0,left
274.6788882288731,204.8927013924121,left
275.01471346131933,205.41311986244503,left
275.4148401133716,206.0,left
276.07454453935424,206.7515251628116,left
